Group	Bird ID	Grid Section	Number of Pecks
Wall	297	1	0
Wall	297	2	0
Wall	297	3	0
Wall	297	4	0
Wall	297	5	0
Wall	297	6	0
Wall	297	7	0
Wall	297	8	0
Wall	297	9	0
Wall	297	10	0
Wall	297	11	1
Wall	297	12	0
Wall	297	13	2
Wall	297	14	3
Wall	297	15	0
Wall	297	16	0
Wall	297	17	0
Wall	297	18	0
Wall	297	19	0
Wall	297	20	1
Wall	297	21	0
Wall	297	22	0
Wall	297	23	2
Wall	297	24	2
Wall	297	25	0
Wall	297	26	0
Wall	297	27	0
Wall	297	28	6
Wall	297	29	0
Wall	297	30	0
Wall	297	31	0
Wall	297	32	1
Wall	297	33	5
Wall	297	34	0
Wall	297	35	0
Wall	297	36	0
Wall	297	37	2
Wall	297	38	8
Wall	297	39	0
Wall	297	40	0
Wall	297	41	0
Wall	297	42	0
Wall	297	43	0
Wall	297	44	1
Wall	297	45	0
Wall	297	46	0
Wall	297	47	0
Wall	297	48	1
Wall	297	49	1
Wall	297	50	0
Wall	297	51	0
Wall	297	52	0
Wall	297	53	0
Wall	297	54	0
Wall	297	55	0
Wall	297	56	0
Wall	297	57	0
Wall	297	58	0
Wall	297	59	0
Wall	297	60	0
Wall	297	61	0
Wall	297	62	4
Wall	297	63	7
Wall	297	64	7
Wall	297	65	0
Wall	297	66	4
Wall	297	67	1
Wall	297	68	11
Wall	297	69	0
Wall	297	70	0
Wall	297	71	0
Wall	297	72	0
Wall	297	73	0
Wall	297	74	1
Wall	297	75	0
Wall	297	76	6
Wall	297	77	8
Wall	297	78	8
Wall	297	79	0
Wall	297	80	0
Wall	297	81	0
Wall	297	82	0
Wall	297	83	0
Wall	297	84	0
Wall	297	85	0
Wall	297	86	0
Wall	297	87	0
Wall	297	88	0
Wall	297	89	0
Wall	297	90	0
Wall	297	91	0
Wall	297	92	0
Wall	297	93	0
Wall	297	94	0
Wall	297	95	2
Wall	297	96	0
Wall	297	97	0
Wall	297	98	0
Wall	297	99	0
Wall	297	100	0
Wall	415	1	0
Wall	415	2	0
Wall	415	3	0
Wall	415	4	0
Wall	415	5	0
Wall	415	6	0
Wall	415	7	0
Wall	415	8	0
Wall	415	9	0
Wall	415	10	0
Wall	415	11	0
Wall	415	12	2
Wall	415	13	6
Wall	415	14	5
Wall	415	15	0
Wall	415	16	0
Wall	415	17	1
Wall	415	18	0
Wall	415	19	0
Wall	415	20	0
Wall	415	21	1
Wall	415	22	1
Wall	415	23	17
Wall	415	24	10
Wall	415	25	0
Wall	415	26	2
Wall	415	27	10
Wall	415	28	2
Wall	415	29	0
Wall	415	30	0
Wall	415	31	0
Wall	415	32	0
Wall	415	33	11
Wall	415	34	4
Wall	415	35	0
Wall	415	36	0
Wall	415	37	0
Wall	415	38	2
Wall	415	39	0
Wall	415	40	0
Wall	415	41	0
Wall	415	42	0
Wall	415	43	9
Wall	415	44	0
Wall	415	45	3
Wall	415	46	0
Wall	415	47	2
Wall	415	48	5
Wall	415	49	0
Wall	415	50	0
Wall	415	51	0
Wall	415	52	0
Wall	415	53	1
Wall	415	54	2
Wall	415	55	1
Wall	415	56	0
Wall	415	57	0
Wall	415	58	1
Wall	415	59	0
Wall	415	60	0
Wall	415	61	0
Wall	415	62	0
Wall	415	63	5
Wall	415	64	8
Wall	415	65	1
Wall	415	66	0
Wall	415	67	0
Wall	415	68	1
Wall	415	69	0
Wall	415	70	0
Wall	415	71	0
Wall	415	72	0
Wall	415	73	13
Wall	415	74	5
Wall	415	75	3
Wall	415	76	0
Wall	415	77	0
Wall	415	78	4
Wall	415	79	0
Wall	415	80	0
Wall	415	81	0
Wall	415	82	1
Wall	415	83	2
Wall	415	84	1
Wall	415	85	0
Wall	415	86	0
Wall	415	87	0
