WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
abbey	7.8	480	575	429	5	2	3	2.26	0
abide	8.9	533	160	397	5	2	4	2.22	2
able	5.9	322	200	599	4	2	3	2.67	3
aboard	6.0	345	362	456	6	2	4	2.01	0
abrupt	9.1	557	242	484	6	2	6	2.13	0
absorb	7.4	438	334	501	6	2	5	2.04	0
absurd	8.6	526	142	503	6	2	5	2.41	0
accent	6.3	353	316	560	6	2	6	2.82	2
access	7.7	467	256	543	6	2	5	2.70	0
accuse	7.3	440	239	514	6	2	5	2.56	0
ache	5.4	302	311	575	4	1	2	1.25	3
active	6.6	386	343	551	6	2	5	2.64	0
actor	5.8	324	469	550	5	2	5	2.18	0
actress	5.6	307	562	543	7	2	6	2.53	0
actual	7.1	407	169	607	6	2	5	2.80	0
acute	9.7	609	238	441	5	2	5	2.34	0
adapt	8.0	480	225	523	5	2	5	1.94	2
addict	8.6	532	430	509	6	2	5	2.43	0
address	5.5	299	399	628	7	2	5	2.46	0
adjust	8.1	495	275	513	6	2	5	2.08	0
adopt	6.9	415	274	453	5	2	5	2.09	2
adverse	10.0	607	174	459	7	2	5	2.54	0
afar	7.5	452	250	430	4	2	4	1.35	1
affect	7.5	442	100	597	6	2	5	2.69	1
afford	7.5	452	274	639	6	2	4	2.83	0
agent	7.7	466	405	452	5	2	5	2.62	0
aide	9.1	553	250	394	4	1	2	2.56	8
airport	5.0	252	650	503	7	2	4	2.45	0
aisle	7.0	407	530	478	5	1	2	2.02	0
alive	5.1	283	295	531	5	2	4	2.69	2
allow	5.5	305	170	586	5	2	3	2.45	3
aloft	10.1	619	285	393	5	2	5	2.35	0
aloud	6.0	353	288	514	5	2	4	2.88	1
altar	6.8	407	575	450	5	2	5	2.39	2
alter	6.7	394	238	477	5	2	5	2.97	3
amber	8.1	495	490	449	5	2	5	2.24	0
amongst	6.8	406	235	539	7	2	6	2.28	0
amuse	7.2	422	255	531	5	2	5	2.48	1
anchor	6.5	387	620	436	6	2	5	2.40	0
ancient	7.1	430	409	503	7	2	6	2.90	0
angry	4.5	247	440	592	5	2	5	2.34	0
anguish	8.7	533	184	431	7	2	6	2.38	0
annual	7.4	438	232	469	6	2	5	2.50	0
anthem	8.6	516	330	456	6	2	5	2.85	0
anxious	8.2	488	305	521	7	2	6	2.64	0
apex	11.8	700	226	380	4	2	5	1.48	1
appear	5.7	335	307	542	6	2	4	2.44	1
approve	7.1	415	215	520	7	2	5	2.26	0
apron	5.0	261	541	436	5	2	5	2.05	0
arch	6.5	351	604	463	4	1	2	2.45	1
archer	7.7	459	522	400	6	2	4	2.71	2
argue	5.0	291	395	584	5	2	4	2.23	0
arise	8.4	517	255	464	5	2	4	2.95	1
arouse	10.4	658	317	468	6	2	4	2.99	1
arrest	6.5	374	473	479	6	2	5	2.74	0
arrive	5.1	291	274	607	6	2	4	2.51	0
arrow	5.7	317	463	462	5	2	3	2.14	0
artist	5.3	283	538	488	6	2	5	2.61	0
ascent	9.1	570	265	395	6	2	5	2.65	3
ashore	8.0	477	317	431	6	2	4	2.52	0
askew	10.1	638	129	408	5	2	5	2.59	1
assist	7.5	433	258	508	6	2	5	2.66	0
assure	8.6	527	230	501	6	2	4	2.75	1
asthma	7.9	473	405	505	6	2	4	1.94	0
atom	10.7	692	390	428	4	2	4	2.36	1
attract	6.6	373	226	565	7	2	6	2.47	0
auction	8.7	532	455	422	7	2	4	2.70	1
