Gender	IQ	Weight	Height BrainSize
2	133	118	64.5	816932
1	140	NAN	72.5	1001121
1	139	143	73.3	1038437
1	133	172	68.8	965353
2	137	147	65	951545
2	99	146	69	928799
2	138	138	64.5	991305
2	92	175	66	854258
1	89	134	66.3	904858
1	133	172	68.8	955466
2	132	118	64.5	833868
1	141	151	70	1079549
1	135	155	69	924059
2	140	155	70.5	856472
2	96	146	66	878897
2	83	135	68	865363
2	132	127	68.5	852244
1	100	178	73.5	945088
2	101	136	66.3	808020
1	80	180	70	889083
1	83	NAN	NAN	892420
1	97	186	76.5	905940
2	135	122	62	790619
1	139	132	68	955003
2	91	114	63	831772
1	141	171	72	935494
2	85	140	68	798612
1	103	187	77	1062462
2	77	106	63	793549
2	130	159	66.5	866662
2	133	127	62.5	857782
1	144	191	67	949589
1	103	192	75.5	997925
1	90	181	69	879987
2	83	143	66.5	834344
2	133	153	66.5	948066
1	140	144	70.5	949395
2	88	139	64.5	893983
1	81	148	74	930016
1	89	179	75.5	935863
