Appendix B																				
Word Ratings and Associated Statistics (All Participants)																				
Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
anus	taboo	4	2				2.39	1.70	3.83	2.11	2.26	1.69	4.70	2.36	3.68	1.34	4.01	2.25	6.35	2.50
ass	taboo	3	1				5.88	2.46	6.78	1.93	2.42	2.01	4.99	2.00	3.58	1.28	4.08	2.40	6.74	2.36
asshole	taboo	7	2				5.36	2.36	6.44	1.99	3.77	2.44	5.65	2.27	2.45	1.38	4.74	2.39	3.32	2.66
balls	taboo	5	1				4.81	2.28	5.71	2.38	1.66	1.30	3.65	2.41	4.64	1.13	3.18	2.33	7.01	2.40
bastard	taboo	7	2	12	3.36	6.07	4.30	2.41	5.62	2.05	3.21	2.29	5.53	2.17	2.55	1.15	4.62	2.23	2.39	2.17
bitch	taboo	5	1				5.43	2.41	7.00	1.77	4.60	2.54	6.21	2.11	2.18	1.18	5.47	2.40	2.88	2.19
blowjob	taboo	7	2				3.88	2.45	5.30	2.30	2.87	2.29	6.61	2.08	4.23	1.89	5.77	2.51	6.53	2.53
boner	taboo	5	2				3.82	2.43	5.21	2.31	2.18	1.68	5.55	2.21	4.30	1.44	4.96	2.34	6.71	2.31
boobs	taboo	5	1				5.25	2.50	6.53	1.94	1.82	1.33	4.24	2.20	5.13	1.54	4.78	2.52	7.78	1.56
booty	taboo	5	2				4.71	2.17	5.90	2.20	1.45	1.07	3.08	1.91	4.97	1.03	3.69	2.31	6.59	2.29
breasts	taboo	7	2				4.59	2.05	5.87	2.04	1.50	1.07	3.33	1.79	5.51	1.29	4.69	2.55	7.83	1.62
bullshit	taboo	8	2				5.57	2.34	6.47	2.18	2.58	2.30	5.32	2.34	2.70	1.28	4.58	2.48	2.16	2.12
butt	taboo	4	1				5.82	2.35	6.26	2.01	1.34	0.62	2.59	1.64	4.49	1.17	3.37	2.20	7.44	1.91
buttfuck	taboo	8	2				1.96	1.79	2.94	1.74	4.82	2.81	7.91	1.56	2.49	1.49	5.91	2.63	4.52	3.02
castrate	taboo	8	2				2.31	1.63	3.36	1.87	2.31	1.88	4.17	2.44	2.62	1.59	4.19	2.62	4.75	2.81
chink	taboo	5	1				1.69	1.58	2.86	2.06	4.97	2.78	6.75	2.45	2.43	1.85	4.78	2.90	4.34	2.91
climax	taboo	6	2				3.86	2.29	4.93	2.45	1.33	0.89	2.61	2.03	6.04	1.26	4.62	2.73	3.30	2.70
clit	taboo	4	1				2.77	2.03	3.82	2.21	2.84	2.28	6.47	2.37	4.16	1.73	5.48	2.57	5.61	2.98
cock	taboo	4	1				3.38	2.22	5.03	2.29	3.29	2.37	6.51	2.06	3.45	1.40	5.23	2.48	6.69	2.63
cocksucker	taboo	10	3				2.44	2.16	3.90	2.23	5.00	2.82	7.73	1.68	2.16	1.16	6.30	2.48	3.72	2.91
coitus	taboo	6	2				1.52	1.12	1.95	1.29	1.47	0.99	3.35	2.70	4.31	1.40	3.39	2.74	3.21	2.79
crap	taboo	4	1				5.71	2.18	6.21	2.00	1.99	1.59	4.01	2.00	3.18	1.00	3.18	2.15	4.72	3.02
cum	taboo	3	1				3.69	2.32	4.68	2.38	2.21	1.74	5.99	2.13	4.27	1.28	5.08	2.39	5.69	2.83
cunnilingus	taboo	11	4				1.74	1.57	2.24	1.89	1.84	1.95	4.19	3.14	4.53	1.30	4.19	3.01	3.38	3.03
